Numer przystanku;Numer linii;Numer pojazdu;Data;Godzina planowana;Godzina faktycznego przyjazdu;Godzina faktycznego  odjazdu
48;8;6;18.05.2021;05:33;05:39;05:42
25;35;23;09.02.2021;08:24;08:32;08:35
60;57;23;25.12.2021;19:10;19:09;19:12
35;145;364;06.09.2021;08:49;174:212;09:00
5;102;201;21.04.2021;00.58;158:164;01:11
20;131;32;22.09.2021;15:38;15-41;15:42
72;102;201;30.12.2021;00:18;00:21;00:22
5;102;654;01.05.2021;134:148;116:187;03:18
25;57;321;19.10.2021;203-182;19:42;19:43
15;57;56;17.03.2021;00:48;152:251;00:57
10;147;5;17.01.2021;08:39;08:38;191:239
35;145;378;23.01.2021;03:22;03:23;03:24
5;102;Wq28mr;28.02.2021;09:59;10:01;10:04
10;110;84;11.09.2021;07:18;07:17;190:159
5;102;42;16.12.2021;16:27;16:32;139:176
40;147;896;04.04.2021;05:24;121:149;05:33
70;57;32;03.09.2021;18:42;18:45;18:48
80;147;5;18.08.2021;17:07;192:162;17:19
74;145;332;07.02.2021;10:35;10:38;10:41
102;147;42;23.06.2021;17:20;17:28;17:31
71;57;321;10.03.2021;07:35;07:36;07:37
28;10;948;27.03.2021;17:21;17:31;17-33
94;147;764;21.06.2021;00:05;00:10;00:13
30;142;208;27.01.2021;08:18;08:16;08:18
39;8;43;17.06.2021;117:205;13:14;13:15
15;126;56;04.08.2021;15:39;15:43;15:45
35;147;312;07.02.2021;201:180;10'05;10:08
25;22;41;08.02.2021;17:29;17:26;17:29
45;153;42;26.02.2021;09:16;09:23;09:26
47;147;864;27.08.2021;10:12;10:12;10:15
35;204;332;15.04.2021;10:51;10:48;10:51
25;eI82HO;948;05.01.2021;17:09;17:18;17:19
40;102;42;21.04.2021;07:14;139:164;07-26
10;110;342;07.02.2021;16:24;154:218;16:32
45;102;42;28.12.2021;14:55;162:134;15:03
10;147;945;01.07.2021;06:21;06:27;06:29
45;102;42;06.05.2021;08:59;113:160;09:00
25;83;6;30.12.2021;02:41;02:41;02:42
5;168;654;22.05.2021;19:31;19:33;19:35
15;18;1002;11.06.2021;12:28;12:29;12:31
5;102;53;07.02.2021;14:18;14:16;205:215
20;62;32;04.06.2021;18:22;18:19;18:22
108;110;342;08.04.2021;07:20;07:17;182:140
5;102;54;07.05.2021;14:15;14:17;14:18
20;10;948;16.10.2021;179:201;17:19;17:21
20;156;321;30.08.2021;04:18;04:16;04:18
5;102;12;23.12.2021;17:46;157:154;17:54
25;103;948;27.07.2021;16:29;16:30;16:32
